"city","date","sunlight"
Auckland,2023-04-11,11:19:00
Auckland,2023-04-12,11:17:00
Auckland,2023-04-13,11:15:00
Auckland,2023-04-14,11:12:00
Auckland,2023-04-15,11:10:00
Auckland,2023-04-16,11:08:00
Auckland,2023-04-17,11:06:00
Auckland,2023-04-18,11:04:00
Auckland,2023-04-19,11:02:00
Auckland,2023-04-20,11:00:00
Auckland,2023-04-21,10:57:00
Auckland,2023-04-22,10:55:00
Auckland,2023-04-23,10:53:00
Auckland,2023-04-24,10:51:00
Auckland,2023-04-25,10:49:00
Auckland,2023-04-26,10:47:00
Auckland,2023-04-27,10:45:00
Auckland,2023-04-28,10:43:00
Auckland,2023-04-29,10:41:00
Auckland,2023-04-30,10:38:00
Auckland,2023-05-01,10:36:00
Auckland,2023-05-02,10:34:00
Auckland,2023-05-03,10:33:00
Auckland,2023-05-04,10:31:00
Auckland,2023-05-05,10:29:00
Auckland,2023-05-06,10:27:00
Auckland,2023-05-07,10:25:00
Auckland,2023-05-08,10:23:00
Auckland,2023-05-09,10:21:00
Auckland,2023-05-10,10:19:00
Auckland,2023-05-11,10:18:00
Auckland,2023-05-12,10:16:00
Auckland,2023-05-13,10:15:00
Auckland,2023-05-14,10:13:00
Auckland,2023-05-15,10:11:00
Auckland,2023-05-16,10:09:00
Auckland,2023-05-17,10:08:00
Auckland,2023-05-18,10:07:00
Auckland,2023-05-19,10:05:00
Auckland,2023-05-20,10:03:00
Auckland,2023-05-21,10:01:00
Auckland,2023-05-22,10:01:00
Auckland,2023-05-23,09:59:00
Auckland,2023-05-24,09:58:00
Auckland,2023-05-25,09:56:00
Auckland,2023-05-26,09:56:00
Auckland,2023-05-27,09:54:00
Auckland,2023-05-28,09:53:00
Auckland,2023-05-29,09:51:00
Auckland,2023-05-30,09:51:00
Auckland,2023-05-31,09:49:00
Auckland,2023-06-01,09:48:00
Auckland,2023-06-02,09:48:00
Auckland,2023-06-03,09:46:00
Auckland,2023-06-04,09:45:00
Auckland,2023-06-05,09:45:00
Auckland,2023-06-06,09:44:00
Auckland,2023-06-07,09:43:00
Auckland,2023-06-08,09:42:00
Auckland,2023-06-09,09:42:00
Auckland,2023-06-10,09:41:00
Auckland,2023-06-11,09:41:00
Auckland,2023-06-12,09:40:00
Auckland,2023-06-13,09:40:00
Auckland,2023-06-14,09:39:00
Auckland,2023-06-15,09:39:00
Auckland,2023-06-16,09:39:00
Auckland,2023-06-17,09:38:00
Auckland,2023-06-18,09:38:00
Auckland,2023-06-19,09:38:00
Auckland,2023-06-20,09:37:00
Auckland,2023-06-21,09:38:00
Auckland,2023-06-22,09:38:00
Auckland,2023-06-23,09:38:00
Auckland,2023-06-24,09:37:00
Auckland,2023-06-25,09:38:00
Auckland,2023-06-26,09:38:00
Auckland,2023-06-27,09:38:00
Auckland,2023-06-28,09:39:00
Auckland,2023-06-29,09:39:00
Auckland,2023-06-30,09:40:00
Auckland,2023-07-01,09:40:00
Auckland,2023-07-02,09:40:00
Auckland,2023-07-03,09:41:00
Auckland,2023-07-04,09:41:00
Auckland,2023-07-05,09:42:00
Auckland,2023-07-06,09:43:00
Auckland,2023-07-07,09:44:00
Auckland,2023-07-08,09:45:00
Auckland,2023-07-09,09:45:00
Auckland,2023-07-10,09:47:00
Auckland,2023-07-11,09:47:00
Auckland,2023-07-12,09:48:00
Auckland,2023-07-13,09:50:00
Auckland,2023-07-14,09:50:00
Auckland,2023-07-15,09:51:00
Auckland,2023-07-16,09:53:00
Auckland,2023-07-17,09:53:00
Auckland,2023-07-18,09:55:00
Auckland,2023-07-19,09:56:00
Auckland,2023-07-20,09:57:00
Auckland,2023-07-21,09:59:00
Auckland,2023-07-22,10:00:00
Auckland,2023-07-23,10:02:00
Auckland,2023-07-24,10:03:00
Auckland,2023-07-25,10:04:00
Auckland,2023-07-26,10:06:00
Auckland,2023-07-27,10:08:00
Auckland,2023-07-28,10:08:00
Auckland,2023-07-29,10:10:00
Auckland,2023-07-30,10:12:00
Auckland,2023-07-31,10:14:00
Auckland,2023-08-01,10:15:00
Auckland,2023-08-02,10:17:00
Auckland,2023-08-03,10:19:00
Auckland,2023-08-04,10:21:00
Auckland,2023-08-05,10:23:00
Auckland,2023-08-06,10:24:00
Auckland,2023-08-07,10:26:00
Auckland,2023-08-08,10:28:00
Auckland,2023-08-09,10:30:00
Auckland,2023-08-10,10:32:00
Auckland,2023-08-11,10:33:00
Auckland,2023-08-12,10:35:00
Auckland,2023-08-13,10:37:00
Auckland,2023-08-14,10:40:00
Auckland,2023-08-15,10:42:00
Auckland,2023-08-16,10:43:00
Auckland,2023-08-17,10:45:00
Auckland,2023-08-18,10:47:00
Auckland,2023-08-19,10:50:00
Auckland,2023-08-20,10:52:00
Auckland,2023-08-21,10:53:00
Auckland,2023-08-22,10:56:00
Auckland,2023-08-23,10:58:00
Auckland,2023-08-24,11:00:00
Auckland,2023-08-25,11:03:00
Auckland,2023-08-26,11:04:00
Auckland,2023-08-27,11:06:00
Auckland,2023-08-28,11:09:00
Auckland,2023-08-29,11:11:00
Auckland,2023-08-30,11:13:00
Auckland,2023-08-31,11:15:00
Auckland,2023-09-01,11:17:00
Auckland,2023-09-02,11:20:00
Auckland,2023-09-03,11:22:00
Auckland,2023-09-04,11:24:00
Auckland,2023-09-05,11:26:00
Auckland,2023-09-06,11:29:00
Auckland,2023-09-07,11:31:00
Auckland,2023-09-08,11:34:00
Auckland,2023-09-09,11:35:00
Auckland,2023-09-10,11:38:00
Auckland,2023-09-11,11:40:00
Auckland,2023-09-12,11:43:00
Auckland,2023-09-13,11:44:00
Auckland,2023-09-14,11:47:00
Auckland,2023-09-15,11:49:00
Auckland,2023-09-16,11:52:00
Auckland,2023-09-17,11:54:00
Auckland,2023-09-18,11:56:00
Auckland,2023-09-19,11:58:00
Auckland,2023-09-20,12:01:00
Auckland,2023-09-21,12:03:00
Auckland,2023-09-22,12:06:00
Auckland,2023-09-23,12:07:00
Auckland,2023-09-24,12:10:00
Auckland,2023-09-25,12:12:00
Auckland,2023-09-26,12:14:00
Auckland,2023-09-27,12:17:00
Auckland,2023-09-28,12:19:00
Auckland,2023-09-29,12:22:00
Auckland,2023-09-30,12:24:00
Auckland,2023-10-01,12:27:00
Auckland,2023-10-02,12:28:00
Auckland,2023-10-03,12:31:00
Auckland,2023-10-04,12:34:00
Auckland,2023-10-05,12:36:00
Auckland,2023-10-06,12:38:00
Auckland,2023-10-07,12:41:00
Auckland,2023-10-08,12:43:00
Auckland,2023-10-09,12:45:00
Auckland,2023-10-10,12:47:00
Auckland,2023-10-11,12:50:00
Auckland,2023-10-12,12:52:00
Auckland,2023-10-13,12:55:00
Auckland,2023-10-14,12:57:00
Auckland,2023-10-15,12:59:00
Auckland,2023-10-16,13:02:00
Auckland,2023-10-17,13:04:00
Auckland,2023-10-18,13:07:00
Auckland,2023-10-19,13:09:00
Auckland,2023-10-20,13:11:00
Auckland,2023-10-21,13:14:00
Auckland,2023-10-22,13:15:00
Auckland,2023-10-23,13:17:00
Auckland,2023-10-24,13:19:00
Auckland,2023-10-25,13:22:00
Auckland,2023-10-26,13:24:00
Auckland,2023-10-27,13:26:00
Auckland,2023-10-28,13:28:00
Auckland,2023-10-29,13:30:00
Auckland,2023-10-30,13:33:00
Auckland,2023-10-31,13:35:00
Auckland,2023-11-01,13:37:00
Auckland,2023-11-02,13:39:00
Auckland,2023-11-03,13:41:00
Auckland,2023-11-04,13:43:00
Auckland,2023-11-05,13:45:00
Auckland,2023-11-06,13:47:00
Auckland,2023-11-07,13:49:00
Auckland,2023-11-08,13:52:00
